epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.779507,2.18913,4.36315,3.73413,2.01552,0.10269,0.04762,0.01472,0.00664,0.10269,0.04762,0.01416,0.00809,2.11693,3.07865,3.83806,1.87619,4e-05,4e-05,4e-05
2,1.10967,1.93616,4.54077,3.7538,1.99321,0.05223,0.04762,0.01398,0.00662,0.05223,0.04762,0.01742,0.0084,2.21347,3.15528,3.90739,1.9696,9.802e-05,9.802e-05,9.802e-05
3,1.55055,1.90554,4.64025,3.43623,2.02533,0.02642,0.04762,0.01432,0.00685,0.05007,0.04762,0.02193,0.01031,2.22866,3.21389,3.89864,1.99469,0.000153664,0.000153664,0.000153664
4,2.17134,2.02608,3.52034,3.28289,2.06321,0.13764,0.28571,0.15433,0.07041,0.18364,0.38095,0.183,0.07478,2.00653,4.10274,3.58604,1.97823,0.000206932,0.000206932,0.000206932
5,3.26223,1.7286,3.22674,3.07816,1.7602,0.34939,0.42857,0.28766,0.11777,0.34217,0.42857,0.30777,0.11907,2.0084,3.26631,7.37721,1.82115,0.000257824,0.000257824,0.000257824
6,4.29625,2.12027,3.4964,3.01989,1.87434,0.0504,0.2381,0.03425,0.01399,0.05051,0.28571,0.03682,0.01652,1.99249,3.26006,5.55111,1.84268,0.00030634,0.00030634,0.00030634
7,5.05743,2.05671,3.32501,2.77103,1.75346,0.2576,0.42857,0.23195,0.10285,0.2696,0.47619,0.26628,0.11297,2.04285,3.34307,5.75527,1.81548,0.00035248,0.00035248,0.00035248
8,5.73981,1.81296,2.90752,2.12132,1.65859,0.2487,0.33333,0.29325,0.10259,0.2487,0.33333,0.26807,0.09713,2.05363,4.08684,7.26691,1.94708,0.000396244,0.000396244,0.000396244
9,6.47077,1.48509,2.57424,1.92492,1.54959,0.2487,0.33333,0.29325,0.10259,0.2487,0.33333,0.26807,0.09713,2.05363,4.08684,7.26691,1.94708,0.000437632,0.000437632,0.000437632
10,7.16253,1.73971,2.99684,2.33284,1.64722,0.22195,0.33333,0.22172,0.09963,0.22854,0.33333,0.24012,0.10267,1.79202,3.24937,4.1443,1.85146,0.000476644,0.000476644,0.000476644
