epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,7.83332,1.56543,2.60855,2.16875,1.46519,0.22195,0.33333,0.22172,0.09963,0.22854,0.33333,0.24012,0.10267,1.79202,3.24937,4.1443,1.85146,0.00051328,0.00051328,0.00051328
12,8.51583,1.56565,2.84095,2.11804,1.60774,0.12773,0.61905,0.20292,0.10249,0.12773,0.61905,0.20636,0.08318,1.70108,4.70155,20.7638,1.96638,0.00054754,0.00054754,0.00054754
13,9.26726,1.63687,2.71792,2.18983,1.8893,0.12773,0.61905,0.20292,0.10249,0.12773,0.61905,0.20636,0.08318,1.70108,4.70155,20.7638,1.96638,0.000579424,0.000579424,0.000579424
14,10.076,1.58557,2.96167,2.71157,1.66708,0.26393,0.57143,0.4403,0.23112,0.28592,0.61905,0.47694,0.21388,1.83527,4.75291,12.2272,2.11034,0.000608932,0.000608932,0.000608932
15,11.2557,1.68485,2.81491,1.80646,1.51468,0.26393,0.57143,0.4403,0.23112,0.28592,0.61905,0.47694,0.21388,1.83527,4.75291,12.2272,2.11034,0.000636064,0.000636064,0.000636064
16,12.4899,1.72174,2.84069,2.01627,1.53834,0.26393,0.57143,0.4403,0.23112,0.28592,0.61905,0.47694,0.21388,1.83527,4.75291,12.2272,2.11034,0.00066082,0.00066082,0.00066082
17,13.8149,1.80674,3.31142,2.11915,1.59859,0.53687,0.57143,0.58067,0.249,0.53687,0.57143,0.58067,0.21449,1.97961,3.35451,4.17203,2.06015,0.0006832,0.0006832,0.0006832
18,14.7699,1.58087,2.54119,1.78699,1.51688,0.53687,0.57143,0.58067,0.249,0.53687,0.57143,0.58067,0.21449,1.97961,3.35451,4.17203,2.06015,0.000703204,0.000703204,0.000703204
19,15.8323,1.67843,2.92822,1.95299,1.54337,0.53687,0.57143,0.58067,0.249,0.53687,0.57143,0.58067,0.21449,1.97961,3.35451,4.17203,2.06015,0.000720832,0.000720832,0.000720832
20,16.9533,1.67474,3.04853,1.82651,1.54081,0.39263,0.7619,0.49755,0.25241,0.5087,0.54288,0.55108,0.21239,1.59104,3.05123,8.76325,1.61886,0.000736084,0.000736084,0.000736084
21,17.7754,1.59336,2.72802,1.79688,1.53664,0.39263,0.7619,0.49755,0.25241,0.5087,0.54288,0.55108,0.21239,1.59104,3.05123,8.76325,1.61886,0.00074896,0.00074896,0.00074896
22,18.4948,1.2579,2.44195,1.57091,1.25067,0.39263,0.7619,0.49755,0.25241,0.5087,0.54288,0.55108,0.21239,1.59104,3.05123,8.76325,1.61886,0.00075946,0.00075946,0.00075946
23,19.1307,1.6046,2.61142,1.82166,1.53384,0.39263,0.7619,0.49755,0.25241,0.5087,0.54288,0.55108,0.21239,1.59104,3.05123,8.76325,1.61886,0.000767584,0.000767584,0.000767584
24,19.8826,1.51117,2.83449,1.79395,1.45684,0.43986,0.42857,0.31755,0.19201,0.49188,0.47619,0.39202,0.18611,1.94912,3.01741,2.40218,1.95866,0.000773332,0.000773332,0.000773332
25,20.5462,1.33112,2.37628,1.69716,1.27186,0.43986,0.42857,0.31755,0.19201,0.49188,0.47619,0.39202,0.18611,1.94912,3.01741,2.40218,1.95866,0.000776704,0.000776704,0.000776704
26,21.2776,1.45699,2.57721,1.98148,1.52082,0.43986,0.42857,0.31755,0.19201,0.49188,0.47619,0.39202,0.18611,1.94912,3.01741,2.40218,1.95866,0.0007777,0.0007777,0.0007777
27,21.9332,1.46783,2.73106,1.97076,1.51806,0.43986,0.42857,0.31755,0.19201,0.49188,0.47619,0.39202,0.18611,1.94912,3.01741,2.40218,1.95866,0.00077632,0.00077632,0.00077632
28,22.6827,1.4748,2.37808,1.8275,1.50131,0.43986,0.42857,0.31755,0.19201,0.49188,0.47619,0.39202,0.18611,1.94912,3.01741,2.40218,1.95866,0.000772564,0.000772564,0.000772564
29,23.3531,1.43267,2.36173,1.58054,1.38843,0.27754,0.47619,0.24006,0.14022,0.24961,0.42857,0.21691,0.08525,1.72241,3.87599,3.0028,1.76316,0.000766432,0.000766432,0.000766432
30,24.0199,1.37978,2.64613,1.63601,1.48103,0.27754,0.47619,0.24006,0.14022,0.24961,0.42857,0.21691,0.08525,1.72241,3.87599,3.0028,1.76316,0.000757924,0.000757924,0.000757924
31,24.6682,1.53335,3.0517,1.57123,1.41851,0.27754,0.47619,0.24006,0.14022,0.24961,0.42857,0.21691,0.08525,1.72241,3.87599,3.0028,1.76316,0.00074704,0.00074704,0.00074704
32,25.3204,1.43157,2.72639,1.44323,1.40751,0.27754,0.47619,0.24006,0.14022,0.24961,0.42857,0.21691,0.08525,1.72241,3.87599,3.0028,1.76316,0.00073378,0.00073378,0.00073378
33,26.0284,1.62979,3.15273,1.73261,1.62621,0.27754,0.47619,0.24006,0.14022,0.24961,0.42857,0.21691,0.08525,1.72241,3.87599,3.0028,1.76316,0.000718144,0.000718144,0.000718144
34,26.8298,1.49897,2.74057,1.59384,1.51638,0.4527,0.47619,0.33565,0.19258,0.4527,0.47619,0.33101,0.1684,1.67807,2.89483,2.30292,1.72939,0.0006932,0.0006932,0.0006932
35,27.5776,1.20396,2.19427,1.48495,1.41967,0.4527,0.47619,0.33565,0.19258,0.4527,0.47619,0.33101,0.1684,1.67807,2.89483,2.30292,1.72939,0.0006536,0.0006536,0.0006536
36,28.2367,1.42365,2.43931,1.68717,1.65573,0.4527,0.47619,0.33565,0.19258,0.4527,0.47619,0.33101,0.1684,1.67807,2.89483,2.30292,1.72939,0.000614,0.000614,0.000614
37,28.9167,1.37059,2.03144,1.42626,1.51667,0.4527,0.47619,0.33565,0.19258,0.4527,0.47619,0.33101,0.1684,1.67807,2.89483,2.30292,1.72939,0.0005744,0.0005744,0.0005744
38,29.5841,1.19444,2.19094,1.31205,1.34185,0.4527,0.47619,0.33565,0.19258,0.4527,0.47619,0.33101,0.1684,1.67807,2.89483,2.30292,1.72939,0.0005348,0.0005348,0.0005348
39,30.2671,1.18933,2.14747,1.33857,1.31035,0.4527,0.47619,0.33565,0.19258,0.4527,0.47619,0.33101,0.1684,1.67807,2.89483,2.30292,1.72939,0.0004952,0.0004952,0.0004952
40,31.0148,1.23742,2.14471,1.26462,1.35446,0.57509,0.42857,0.50335,0.33829,0.63821,0.47619,0.59098,0.31156,1.58701,2.58306,1.6606,1.62313,0.0004556,0.0004556,0.0004556
41,32.4145,1.16973,2.20827,1.22266,1.38028,0.57509,0.42857,0.50335,0.33829,0.63821,0.47619,0.59098,0.31156,1.58701,2.58306,1.6606,1.62313,0.000416,0.000416,0.000416
42,33.8075,1.27662,2.31305,1.35481,1.402,0.57509,0.42857,0.50335,0.33829,0.63821,0.47619,0.59098,0.31156,1.58701,2.58306,1.6606,1.62313,0.0003764,0.0003764,0.0003764
43,34.8943,1.20788,2.30539,1.24785,1.38933,0.57509,0.42857,0.50335,0.33829,0.63821,0.47619,0.59098,0.31156,1.58701,2.58306,1.6606,1.62313,0.0003368,0.0003368,0.0003368
44,36.0152,1.23452,2.34345,1.2475,1.39689,0.57509,0.42857,0.50335,0.33829,0.63821,0.47619,0.59098,0.31156,1.58701,2.58306,1.6606,1.62313,0.0002972,0.0002972,0.0002972
45,37.0531,1.12089,2.2243,1.13159,1.32554,0.88364,0.36295,0.54279,0.3475,0.80525,0.42857,0.60146,0.32501,1.47455,2.45172,1.63812,1.5788,0.0002576,0.0002576,0.0002576
46,38.071,1.07823,2.03329,1.26111,1.34943,0.88364,0.36295,0.54279,0.3475,0.80525,0.42857,0.60146,0.32501,1.47455,2.45172,1.63812,1.5788,0.000218,0.000218,0.000218
47,39.1198,1.03735,1.90393,1.1663,1.27778,0.88364,0.36295,0.54279,0.3475,0.80525,0.42857,0.60146,0.32501,1.47455,2.45172,1.63812,1.5788,0.0001784,0.0001784,0.0001784
48,40.1571,1.02516,1.96776,1.05543,1.30785,0.88364,0.36295,0.54279,0.3475,0.80525,0.42857,0.60146,0.32501,1.47455,2.45172,1.63812,1.5788,0.0001388,0.0001388,0.0001388
49,41.2685,1.10808,2.07487,1.147,1.24866,0.88364,0.36295,0.54279,0.3475,0.80525,0.42857,0.60146,0.32501,1.47455,2.45172,1.63812,1.5788,9.92e-05,9.92e-05,9.92e-05
50,42.218,1.18115,2.11719,1.30237,1.40471,0.52578,0.58109,0.58978,0.37871,0.70053,0.61905,0.67404,0.34796,1.37095,2.36209,1.51648,1.51602,5.96e-05,5.96e-05,5.96e-05
