epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.761183,2.21086,4.08701,6.4495,2.17113,0,0,0,0,0,0,0,0,3.38713,5.55576,95.7519,2.99798,2.858e-05,2.858e-05,2.858e-05
2,1.10539,2.2855,4.11479,4.74059,2.06167,0,0,0,0,0,0,0,0,3.23012,4.8505,38.1949,2.82799,7.00353e-05,7.00353e-05,7.00353e-05
3,2.16683,1.49461,2.41953,19.1507,1.39784,0,0,0,0,0,0,0,0,3.23383,4.90488,37.2286,2.8771,0.000109793,0.000109793,0.000109793
4,3.28879,1.05485,1.99208,31.0999,1.12523,0.00593,0.5,0.00358,0.00036,0.00593,0.5,0.00358,0.00072,2.69269,4.79383,118.153,2.65675,0.000147853,0.000147853,0.000147853
5,4.36265,1.56744,2.55651,4.14597,1.60809,0,0,0,0,0.00754,0.5,0.00473,0.00047,2.71451,5.05735,96.5919,2.59027,0.000184215,0.000184215,0.000184215
6,5.08291,1.26944,2.12037,15.4812,1.18748,0,0,0,0,0.00622,0.5,0.0039,0.00039,2.71223,5.24815,80.2727,2.39541,0.00021888,0.00021888,0.00021888
7,5.83358,1.58883,2.56726,4.07728,1.46862,0,0,0,0,0,0,0,0,2.66996,5.46644,68.0835,2.24349,0.000251847,0.000251847,0.000251847
8,6.54121,1.21258,2.32464,5.29359,1.49002,0,0,0,0,0,0,0,0,2.75369,5.50159,65.0435,2.06215,0.000283116,0.000283116,0.000283116
9,7.28245,1.65809,2.56912,4.00114,1.7618,0,0,0,0,0,0,0,0,2.75369,5.50159,65.0435,2.06215,0.000312688,0.000312688,0.000312688
10,7.94916,1.49488,2.4693,3.72036,1.43402,0.05175,1,0.0737,0.04735,0.05175,1,0.0737,0.02948,1.57087,3.78812,88.2032,1.36944,0.000340562,0.000340562,0.000340562
11,8.93681,1.97419,2.93476,7.15546,1.49214,0.05175,1,0.0737,0.04735,0.05175,1,0.0737,0.02948,1.57087,3.78812,88.2032,1.36944,0.000366739,0.000366739,0.000366739
12,9.87684,1.26847,2.05125,4.16427,1.32581,0.0034,1,0.00393,0.00141,0.0017,0.5,0.00231,0.00046,1.96999,3.86469,24.2953,1.75002,0.000391217,0.000391217,0.000391217
13,10.5962,1.4339,2.36165,2.84949,1.55751,0.0034,1,0.00393,0.00141,0.0017,0.5,0.00231,0.00046,1.96999,3.86469,24.2953,1.75002,0.000413998,0.000413998,0.000413998
14,11.4556,1.50348,2.58919,2.93671,1.61342,0.03756,1,0.04975,0.01155,0.03756,1,0.04975,0.0109,2.08768,3.92342,186.59,2.65932,0.000435082,0.000435082,0.000435082
15,12.1479,1.4069,2.68588,2.60372,1.39772,0.03756,1,0.04975,0.01155,0.03756,1,0.04975,0.0109,2.08768,3.92342,186.59,2.65932,0.000454468,0.000454468,0.000454468
16,12.8899,1.70717,2.53771,3.17411,1.7138,0.03756,1,0.04975,0.01155,0.03756,1,0.04975,0.0109,2.08768,3.92342,186.59,2.65932,0.000472156,0.000472156,0.000472156
17,13.6327,1.48866,2.63369,4.6649,1.45437,0.00755,0.5,0.00638,0.00093,0.0013,0.5,0.00097,0.0001,1.8761,6.15793,221.94,1.89798,0.000488146,0.000488146,0.000488146
18,14.2991,1.17699,2.43057,2.91592,1.26901,0.00755,0.5,0.00638,0.00093,0.0013,0.5,0.00097,0.0001,1.8761,6.15793,221.94,1.89798,0.000502439,0.000502439,0.000502439
19,14.9536,1.49416,2.93524,2.95136,1.44102,0.00755,0.5,0.00638,0.00093,0.0013,0.5,0.00097,0.0001,1.8761,6.15793,221.94,1.89798,0.000515034,0.000515034,0.000515034
20,15.6176,1.51608,2.89509,3.02275,1.46424,0.05882,0.5,0.50355,0.25094,0.05882,0.5,0.50355,0.19891,2.21225,4.91953,139.193,2.013,0.000525932,0.000525932,0.000525932
21,16.73,1.6476,2.4881,3.37432,1.42959,0.05882,0.5,0.50355,0.25094,0.05882,0.5,0.50355,0.19891,2.21225,4.91953,139.193,2.013,0.000535132,0.000535132,0.000535132
22,18.0771,1.22439,2.27839,3.82085,1.15989,0.05882,0.5,0.50355,0.25094,0.05882,0.5,0.50355,0.19891,2.21225,4.91953,139.193,2.013,0.000542634,0.000542634,0.000542634
23,19.1805,1.34664,2.64055,4.15824,1.21502,0.05882,0.5,0.50355,0.25094,0.05882,0.5,0.50355,0.19891,2.21225,4.91953,139.193,2.013,0.000548439,0.000548439,0.000548439
24,20.2634,1.33306,2.28126,3.7394,1.2587,0.00082,0.5,0.00068,0.0002,0.00177,0.5,0.00128,0.0002,2.59637,5.99148,368.017,2.31023,0.000552546,0.000552546,0.000552546
25,20.9497,1.27424,2.18559,2.5015,1.22944,0.00082,0.5,0.00068,0.0002,0.00177,0.5,0.00128,0.0002,2.59637,5.99148,368.017,2.31023,0.000554955,0.000554955,0.000554955
26,21.6005,1.29911,2.12782,4.28819,1.37613,0.00082,0.5,0.00068,0.0002,0.00177,0.5,0.00128,0.0002,2.59637,5.99148,368.017,2.31023,0.000555667,0.000555667,0.000555667
27,22.2504,1.14861,1.95155,2.97184,1.18781,0.00082,0.5,0.00068,0.0002,0.00177,0.5,0.00128,0.0002,2.59637,5.99148,368.017,2.31023,0.000554681,0.000554681,0.000554681
28,22.9589,1.10635,2.10918,3.92556,1.28956,0.00082,0.5,0.00068,0.0002,0.00177,0.5,0.00128,0.0002,2.59637,5.99148,368.017,2.31023,0.000551997,0.000551997,0.000551997
29,23.683,1.3553,2.14497,2.22878,1.19189,0,0,0,0,0,0,0,0,4.20973,9.68065,1734.79,3.87857,0.000547616,0.000547616,0.000547616
30,24.4144,1.34451,2.23284,2.67723,1.2951,0,0,0,0,0,0,0,0,4.20973,9.68065,1734.79,3.87857,0.000541537,0.000541537,0.000541537
31,25.1383,1.22084,2.00487,2.57512,1.17013,0,0,0,0,0,0,0,0,4.20973,9.68065,1734.79,3.87857,0.00053376,0.00053376,0.00053376
32,25.8177,1.30532,1.47085,3.04033,1.31915,0,0,0,0,0,0,0,0,4.20973,9.68065,1734.79,3.87857,0.000524286,0.000524286,0.000524286
33,26.4747,0.74316,1.10403,5.55385,0.78806,0,0,0,0,0,0,0,0,4.20973,9.68065,1734.79,3.87857,0.000513114,0.000513114,0.000513114
34,27.2575,1.28665,1.97766,2.80551,1.23585,0,0,0,0,0,0,0,0,3.7807,6.44816,54.3743,3.24447,0.000495291,0.000495291,0.000495291
35,28.0053,0.89191,1.58767,2.27485,1.03741,0,0,0,0,0,0,0,0,3.7807,6.44816,54.3743,3.24447,0.000466997,0.000466997,0.000466997
